Access to water (in Hrs),Access to electricity,Access to cellphone,Education completed,Wealth Index Factor Score,Latitude,Longitude,Location Name
4.67,18,18,52.4590163934,-0.63571,24.62497,90.592487,"Ucakhila Road, Mymensingh District, Kathal - 2280, Bangladesh"
2.0,9,4,9.8360655738,-1.000055,24.764044,90.362795,"Mymensingh District, Mymensingh - 2200, Bangladesh"
6.25,15,11,13.9344262295,-1.045615,24.560352,90.578894,"Kanurampur-Modhupur Road, Mymensingh District, Modhupur -, Bangladesh"
2.33,14,13,49.1803278689,-0.239065,24.8786,90.362799,"Rahinganj, Phulpur Upazila, Bangladesh"
1.5,13,13,28.6885245902,0.092115,24.622433,90.466806,"Mymensingh-Gafargaon Highway, Mymensingh District, Balipara - 2220, Bangladesh"
2.42,12,12,22.9508196721,-0.973205,23.638455,90.488824,"Fatullah, Narayanganj - 1401, Bangladesh"
1.83,8,10,21.3114754098,-0.9629949999999999,23.690025,90.49838,"Matin Road, Shiddhirganj, Narayanganj - 1430, Bangladesh"
15.75,26,26,54.0983606557,-0.36696,24.1354,90.827319,"Narsingdi District, Belabo - 1640, Bangladesh"
1.08,9,9,24.5901639344,-0.8828400000000001,23.934481,90.750293,"Narsingdi District, - 1602, Bangladesh"
3.08,15,14,58.1967213115,-0.07095,23.875405,90.882301,"Char Madhua, Raipura Upazila, Bangladesh"
2.33,9,9,21.3114754098,-0.61477,23.972383999999998,90.700755,"Narsingdi District, - 1600, Bangladesh"
0.25,1,1,0.0,-0.42273000000000005,24.775704,91.100044,"Netrokona District, Khaliajuri Upazila -, Bangladesh"
4.33,24,25,83.606557377,-0.21264000000000002,24.60061,90.815498,"Netrokona District, Kendua Upazila -, Bangladesh"
4.42,18,17,65.5737704918,0.13252,24.881101,90.818486,"Netrokona District, Sahata -, Bangladesh"
0.8300000000000001,5,5,19.6721311475,-1.02764,23.714073,89.738859,"Dhaka-Faridpur Highway;, Rajbari District, Goalanda - 7710, Bangladesh"
1.63,10,10,10.6557377049,-0.9650200000000001,23.756238,89.65517,"Rajbari District, Rajbari - 7700, Bangladesh"
5.67,16,20,37.7049180328,-0.9555549999999999,23.075546,90.490028,"Goshairhat, Gosairhat Upazila, Bangladesh"
1.78,11,6,27.0491803279,-0.9006700000000001,23.39507,90.252006,"Chan Mia Store, Service Area 2 Road, Shariatpur District, Naodoba - 8010, Bangladesh"
2.17,11,11,27.0491803279,-0.47316,25.168565,90.165667,"Sherpur District, Nunni Paragon -, Bangladesh"
1.83,10,10,5.737704918,-1.1879,25.00332,90.044329,"Bhatsala, Sherpur Sadar Upazila, Bangladesh"
1.75,8,7,17.2131147541,-1.07974,24.514808,89.821686,"Bhuapur, Bhuapur Upazila, Bangladesh"
5.25,19,18,47.5409836066,-1.10829,24.411616,90.056668,"Tangail District, -, Bangladesh"
5.25,16,16,32.7868852459,-0.5341,24.5242,89.900947,"Tangail District, Alamnagar - 1990, Bangladesh"
3.0,0,14,37.7049180328,-1.1479,24.660061,90.016002,"Tangail District, Madhupur - 1996, Bangladesh"
5.15,21,20,32.7868852459,-0.9404600000000001,24.064594,89.99445,"Tangail District, Anaitara -, Bangladesh"
0.33,2,2,6.5573770492,1.172685,23.775411,90.420122,"Gulshan, Dhaka - 1212, Bangladesh"
0.33,2,3,8.1967213115,0.007,23.862663,90.406831,"Azampur, - 1276, Bangladesh"
0.8300000000000001,4,4,29.5081967213,0.47859,23.752465,90.454828,"Trimohani, Nasirabad - 1214, Bangladesh"
0.42,2,2,1.6393442623,0.378895,23.825673,90.246501,"Manikganj District, - 1347, Bangladesh"
0.42,0,2,0.0,-0.9231900000000001,23.876784,90.374347,"Diabari, - 1231, Bangladesh"
0.17,2,2,2.4590163934,0.9742900000000001,23.992782,90.30636,"Gazipur District, Kashimpur - 1751, Bangladesh"
0.08,1,1,4.0983606557,-0.6260800000000001,23.9228,90.398158,"Gazipura, Tongi - 1711, Bangladesh"
0.17,1,1,7.3770491803,0.68608,24.126122,90.567652,"Gazipur District, Kapashia -, Bangladesh"
0.33,2,2,0.0,-0.222575,25.178624,89.759821,"Z4614, Jamalpur District, Dewanganj -, Bangladesh"
3.42,9,9,19.6721311475,-0.48216000000000003,24.806842,89.859469,"Jamalpur- Sharishabari Rd, Jamalpur District, Meshta -, Bangladesh"
9.58,15,17,30.3278688525,-1.12991,24.448373,90.792936,"Kishoreganj District, Kishoreganj - 2300, Bangladesh"
2.92,4,8,13.9344262295,-0.652175,23.85803,90.004828,"Girls' School Road, Manikganj District, Manikganj - 1800, Bangladesh"
2.5,15,15,46.7213114754,-0.5584300000000001,24.750614,90.417709,"Mymensingh District, Mymensingh - 2200, Bangladesh"
1.25,6,5,6.5573770492,-0.7586900000000001,23.8356,90.61485,"Dhaka-Sylhet Highway, Narayanganj District, - 1604, Bangladesh"
0.17,1,1,7.3770491803,0.8664200000000001,23.632245,90.479095,"Narayanganj District, Narayanganj - 1401, Bangladesh"
0.5,1,1,4.0983606557,-0.9185300000000001,23.687967,90.515427,"Shiddhirganj, Narayanganj - 1431, Bangladesh"
0.25,2,2,1.6393442623,-0.44425499999999996,23.795897,90.531262,"Narayanganj District, Rupganj - 1460, Bangladesh"
0.25,2,2,5.737704918,-0.5625300000000001,23.946827,90.633842,"Palash - Ghorashal Road, Narsingdi District, Palash - 1610, Bangladesh"
0.13,1,2,0.0,-0.6599400000000001,23.648867,89.539533,"Nawabpur, Baliakandi Upazila, Bangladesh"
0.08,1,1,9.0163934426,-0.51639,25.030245,90.012601,"Sherpur - Jhinaigati Road, Sherpur District, Sherpur - 2100, Bangladesh"
7.58,22,22,45.9016393443,-0.942545,24.647376,90.001991,"Tangail District, - 1996, Bangladesh"
6.5,20,20,87.7049180328,-0.7199300000000001,23.81812,90.426784,"Road # 9, Kuril, Dhaka - 1229, Bangladesh"
0.17,0,1,3.2786885246,-1.23218,23.714054,90.412552,"M/S Bismillah Motors, Auto parts store, Nawabpur Road, Dholaikhal, Dhaka, Dholaikhal Road, Dayaganj, Dhaka - 1100, Bangladesh"
17.3,29,27,74.5901639344,-0.7391800000000001,23.6951,90.436078,"Faruq Hotel and Restaurant, Dhaka - Mawa Hwy, Dhaka, N8, Dholairpar, Dhaka - 1232, Bangladesh"
1.83,12,11,17.2131147541,-0.513745,23.762841,90.421687,"Rampura, Dhaka - 1219, Bangladesh"
0.17,1,1,0.0,-0.06507,23.713687,90.419794,"Koarti Tola Road, Narinda, Dhaka - 1203, Bangladesh"
0.25,1,2,6.5573770492,-0.20306000000000002,23.692752,90.436891,"Jurain, Dhaka - 1236, Bangladesh"
0.75,5,6,17.2131147541,0.09896,23.75523,90.447078,"Nandipara, Dhaka - 1214, Bangladesh"
0.33,2,3,0.0,0.36715000000000003,23.716604,90.391039,"Water Works Road, Chawkbazar, Dhaka - 1211, Bangladesh"
1.25,6,7,31.9672131148,-0.26464000000000004,23.788071,90.351773,"Tolarbag, Dhaka - 1916, Bangladesh"
0.92,5,8,27.868852459,-0.43953000000000003,23.764587,90.37948,"Lalmatia, Dhaka - 1207, Bangladesh"
1.67,3,3,4.0983606557,-1.05282,23.836814,90.352385,"Mirpur Cantonment, Dhaka - 1216, Bangladesh"
2.33,6,9,11.4754098361,-1.174965,23.823018,90.377734,"Bhashantek, Dhaka - 1206, Bangladesh"
5.37,17,17,28.6885245902,-0.55332,23.745948,90.406365,"Eastern Ramna View, 98/1 Old Elephant Road, Mogbazar, Dhaka - 1217, Bangladesh"
4.0,11,10,19.6721311475,-1.0686,23.759999,90.431347,"Banasree, Dhaka - 1219, Bangladesh"
4.08,0,10,26.2295081967,-1.179035,23.730205,90.428459,"Atish Dipankar Road, Golapbag, Dhaka - 1203, Bangladesh"
5.42,12,7,14.7540983607,-1.120075,23.687254,90.407643,"Khejurbag, Char Mirerbag - 1310, Bangladesh"
11.17,0,19,20.4918032787,-1.208265,23.719009,90.420307,"Hakthola Road, Tikatuli, Dhaka - 1203, Bangladesh"
1.0,3,4,12.2950819672,-0.6758500000000001,23.759203,90.398242,"Tejgaon, Dhaka - 2015, Bangladesh"
3.48,16,19,51.6393442623,-0.10362,23.86779,90.392102,"Road 2, Uttara, - 1231, Bangladesh"
6.58,20,22,69.6721311475,-0.40946000000000005,22.748157,89.797835,"Bagerhat District, Bagerhat -, Bangladesh"
1.0,6,5,24.5901639344,-0.16889,22.812549,89.879051,"Bagerhat District, Hizla - 9360, Bangladesh"
0.42,3,4,7.3770491803,-0.50917,22.652121,89.87773,"Bagerhat District, Kachua -, Bangladesh"
0.17,2,2,0.8196721311,0.284915,22.429435,89.674948,"Bagerhat District, -, Bangladesh"
0.17,1,1,6.5573770492,-0.8196500000000001,22.396543,89.780002,"Road from Gulishakhali Bazar to Sundarban Bazar, Bagerhat District, -, Bangladesh"
0.33,2,2,13.1147540984,0.31347,23.760537,88.950014,"Chuadanga District, Alamdanga - 7210, Bangladesh"
0.17,1,1,0.0,-0.8151700000000001,23.57531,88.908219,"Chuadanga District, Chuadanga -, Bangladesh"
3.83,15,16,43.4426229508,-0.8262200000000001,23.617535,88.691764,"Chuadanga District, -, Bangladesh"
2.58,14,14,66.393442623,-0.06117,23.457902,88.804411,"Chuadanga District, -, Bangladesh"
8.75,27,25,61.4754098361,-0.9861749999999999,23.275387,89.297009,"Jashore District, -, Bangladesh"
3.5,0,11,34.4262295082,-1.10076,23.228426,88.966059,"Jashore District, -, Bangladesh"
0.8300000000000001,0,4,1.6393442623,-1.077525,22.996982,89.049392,"Jashore District, Hajirbagh -, Bangladesh"
0.92,6,6,9.0163934426,0.27730499999999997,22.844137,89.300574,"Jashore District, Gaurighana -, Bangladesh"
2.3,18,15,-76.2295081967,-0.18027,23.155714,89.330526,"Jashore District, -, Bangladesh"
0.78,6,6,22.131147541,0.20021000000000003,23.22622,89.237433,"Jashore District, Jashore -, Bangladesh"
0.75,4,4,5.737704918,0.360305,23.053658,89.283319,"Jashore District, Dhakuria -, Bangladesh"
2.33,12,11,47.5409836066,-0.27919000000000005,22.943835,89.3465,"Jashore District, Nehalpur -, Bangladesh"
0.42,4,4,26.2295081967,0.8239249999999999,22.952726,88.876655,"Jashore District, -, Bangladesh"
1.75,7,9,9.8360655738,-0.88219,23.619259,89.151306,"Horinakundu Upazila, Bangladesh"
13.08,19,23,82.7868852459,-0.43357,23.541812,89.090397,"Jhenaidah District, Jhenaidah -, Bangladesh"
8.33,13,15,53.2786885246,-0.51137,23.561336,89.004774,"Jhenaidah-Chuadanga Road, Jhenaidah District, Jhenaidah -, Bangladesh"
1.33,5,6,18.0327868852,-0.422145,23.400441999999998,89.127638,"Jhenaidah District, Kaliganj -, Bangladesh"
13.08,4,29,-103.2786885246,-0.8980500000000001,23.600281,89.317743,"Jhenaidah District, -, Bangladesh"
3.33,8,8,27.868852459,0.00371,23.592941,89.253063,"Shailkupa Upazila, Bangladesh"
2.58,10,12,26.2295081967,-1.25378,22.646255,89.397426,"Khulna District, Paikgachha Upazila - 9285, Bangladesh"
14.83,27,25,-86.0655737705,-1.00374,22.81185,89.401853,"থুলনা সাতক্ষীরা মহাসড়ক, Khulna District, খর্নিয়া -, Bangladesh"
0.58,1,2,15.5737704918,-0.48344499999999996,22.939755,89.574589,"Khulna District, আড়ুয়া -, Bangladesh"
7.67,0,19,25.4098360656,-1.28247,22.445247,89.283592,"Khulna District, Koyra -, Bangladesh"
0.17,2,1,9.0163934426,-0.24430000000000002,22.674333,89.352841,"Khulna District, Paikgachha Upazila -, Bangladesh"
5.33,3,4,9.0163934426,-1.1474,22.819203,89.613873,"Alaipur to Palerhat Road, Khulna District, আলাইপুর -, Bangladesh"
1.83,6,7,27.868852459,-0.9486600000000001,24.093133,88.961191,"Kushtia District, -, Bangladesh"
7.67,14,16,54.0983606557,-1.04443,23.973008,88.78158,"Kushtia District, - 7052, Bangladesh"
5.5,0,10,27.868852459,-1.25752,24.047659,88.938525,"Kushtia District, -, Bangladesh"
4.33,12,14,90.1639344262,-0.29227000000000003,23.787974,89.288457,"Kushtia District, Khoksha - 7020, Bangladesh"
3.33,6,11,39.3442622951,-0.89063,23.857855,89.196714,"Kushtia District, - 7010, Bangladesh"
7.83,0,15,41.8032786885,-1.20317,23.913275,89.061614,"Kushtia District, Kushtia -, Bangladesh"
9.5,23,22,54.9180327869,-1.04867,23.70952,89.032229,"Jhaudia, Kushtia District, Bangladesh"
14.08,20,22,32.7868852459,-1.041615,23.832202,88.99669,"Kushtia District, -, Bangladesh"
0.92,3,4,16.393442623,-0.952835,23.381338,89.469072,"Magura District, Gopalgram -, Bangladesh"
7.0,0,14,35.2459016393,-1.30136,23.397015,89.539748,"Balidia, Mohammadpur Upazila, Bangladesh"
6.83,17,17,36.0655737705,-1.03726,23.301834,89.39681,"Magura District, Shalikha -, Bangladesh"
4.5,13,16,69.6721311475,-1.08477,23.885178,88.787131,"Meherpur District, Bamundi - 7110, Bangladesh"
4.33,13,12,33.606557377,-1.25704,23.858676,88.800235,"Meherpur District, - 7110, Bangladesh"
12.08,17,21,59.0163934426,-1.19926,23.768451,88.588151,"Meherpur District, Meherpur -, Bangladesh"
3.33,13,13,46.7213114754,-1.02725,23.081662,89.640943,"Narail District, Mauli - 7520, Bangladesh"
5.83,5,13,48.3606557377,-1.20946,23.245589,89.594832,"Narail District, -, Bangladesh"
1.25,0,8,32.7868852459,-1.246705,23.182744,89.435044,"Narail District, Tularampur - 7000, Bangladesh"
13.83,0,19,32.7868852459,-1.3436,22.581227,89.071079,"Satkhira District, -, Bangladesh"
3.67,24,20,83.606557377,-0.8908200000000001,22.87511,89.003317,"Satkhira District, Kolaroa -, Bangladesh"
8.58,29,28,82.7868852459,-1.15621,22.396932,89.071171,"Shyamnagar-Munshiganj Road, Satkhira District, Kaliganj -, Bangladesh"
4.72,19,23,63.1147540984,-1.31731,22.708012,89.083589,"Fokir Moira Land Road, Satkhira District, Satkhira - 9400, Bangladesh"
3.7,16,17,50.0,-1.11222,22.743591,89.024793,"Satkhira District, Satkhira -, Bangladesh"
6.42,19,21,81.9672131148,-1.134795,22.397019,89.183668,"Satkhira District, -, Bangladesh"
12.67,24,28,94.262295082,-1.27811,22.693874,89.193734,"Satkhira District, Khesra -, Bangladesh"
7.08,24,21,-85.2459016393,-0.8706900000000001,22.654283,89.776146,"An Nur Forkaniya Mosjid, Barisal-Khulna Highway, Bagerhat District, Bagerhat - 9300, Bangladesh"
2.0,0,15,42.6229508197,-1.31819,22.492279,89.601967,"Bagerhat District, Mongla - 9350, Bangladesh"
7.42,14,15,61.4754098361,-1.04865,23.760284,88.940571,"Alamdanga Upozila Swimming Pool, Station Road Alamdanga, Chuadanga District, Alamdanga - 7210, Bangladesh"
2.92,15,16,15.5737704918,-0.8850349999999999,23.65424,88.867971,"Chuadanga District, Chuadanga - 7200, Bangladesh"
4.5,18,17,55.737704918,0.05782,23.50348,88.806034,"Chuadanga District, -, Bangladesh"
2.25,10,9,25.4098360656,0.34836,23.028249,89.402248,"Barnali Cinema Hall, Jessoe-Khulna Hwy, Mohakal, Noapara -, Bangladesh"
1.17,3,6,9.0163934426,-0.9112800000000001,23.037493,88.88842,"Jashore District, Benapole - 7431, Bangladesh"
0.17,2,2,8.1967213115,-0.102115,23.531075,89.183954,"Hamdah Bypass, Jhenaidah District, Jhenaidah - 7300, Bangladesh"
0.15,0,1,5.737704918,-0.714205,23.396183,89.119442,"Jhenaidah District, Kaliganj -, Bangladesh"
0.12,2,1,0.0,-0.624435,22.736725,89.522263,"জলমা, Batiaghata -, Bangladesh"
0.42,5,4,9.8360655738,-0.57576,22.948192,89.678375,"Terokhada to ‍Sachiadah to Mollahat Rd, Atlia, Terokhada - 9230, Bangladesh"
0.33,1,2,0.0,-0.614105,23.89869,89.139493,"Kushtia District, Kushtia - 7001, Bangladesh"
0.08,1,1,9.0163934426,0.98606,23.936548,88.989369,"Kushtia District, Mirpur -, Bangladesh"
0.08,1,1,5.737704918,1.46143,23.780111,88.633409,"Meherpur District, Meherpur - 7100, Bangladesh"
0.12,1,1,6.5573770492,-0.927,23.14157,89.453645,"Mulia, Narail Sadar Upazila, Bangladesh"
0.33,2,2,5.737704918,-0.38826000000000005,22.794092,88.961172,"Satkhira District, -, Bangladesh"
0.25,0,2,10.6557377049,-0.6330600000000001,22.854036,89.522361,"Karigar Para Rd, Pabla, - 9202, Bangladesh"
0.17,2,2,0.0,-0.8688500000000001,22.827278,89.553754,"Jora Gate, Khulna - 9000, Bangladesh"
0.8300000000000001,9,8,28.6885245902,-0.9866849999999999,22.800432,89.558253,"Bagmara, Khulna - 9100, Bangladesh"
6.25,16,18,67.2131147541,-0.277095,22.812792,89.568465,"Khulna Model School, লোয়ার যশোর রোড, Sener Bazar, Khulna - 9100, Bangladesh"
0.17,1,1,6.5573770492,-0.052250000000000005,22.822982,89.536276,"Chak Mathurabad, Khulna - 9000, Bangladesh"
4.42,20,18,79.5081967213,-1.272855,22.817167,89.548391,"PCC&MEC, 180 Road 12, Goborchaka, Khulna - 9100, Bangladesh"
3.0,23,18,68.0327868852,-0.98755,22.814665,89.541784,"Sonadanga, Khulna - 9208, Bangladesh"
3.5,16,14,57.3770491803,-1.0603,24.960166,89.422679,"Bogura District, Bangladesh"
3.75,4,17,36.0655737705,-1.16086,24.571896,89.601286,"Bogura District, - 5850, Bangladesh"
3.42,23,21,-104.0983606557,-0.75204,24.905653,89.112259,"Pukur gachha govt primary school, Bogura District, - 5880, Bangladesh"
3.17,8,18,33.606557377,-1.20877,24.74952,89.481397,"Bogura District, Bogura -, Bangladesh"
5.38,23,24,79.5081967213,-0.96935,24.757194,89.300808,"Bogura, Bogura District, Bangladesh"
6.75,26,19,71.3114754098,-1.14423,24.812238999999998,89.538712,"Bogura District, -, Bangladesh"
2.25,9,9,27.868852459,-0.89446,24.916728,89.518729,"Sariakandi, Bogura District, Bangladesh"
1.58,0,7,27.0491803279,-1.138655,24.822684,89.389252,"Bogura District, Bogura - 5800, Bangladesh"
4.17,13,13,31.9672131148,-0.86128,24.573327,89.526615,"Sherpur Upazila, Bangladesh"
2.73,13,16,30.3278688525,-1.11813,25.017115,89.368359,"Akkelpur Bypass, Bogura District, Shibganj -, Bangladesh"
0.25,2,2,8.1967213115,-0.144035,24.976099,89.493625,"Bogura District, Sonatala - 5826, Bangladesh"
0.42,3,3,4.0983606557,-0.28407000000000004,25.048107,88.946701,"Joypurhat District, Joypurhat -, Bangladesh"
0.8300000000000001,5,5,3.2786885246,-0.44542000000000004,25.043026,89.219757,"Joypurhat District, -, Bangladesh"
1.05,8,8,19.6721311475,-0.16164,25.190088,89.036863,"Joypurhat District, Panchbibi -, Bangladesh"
0.67,6,6,27.868852459,-0.6263449999999999,24.688859,88.867868,"Naogaon District, -, Bangladesh"
0.58,4,5,27.0491803279,1.27747,24.767666,88.641915,"Manda Upazila, Bangladesh"
6.83,24,23,88.5245901639,-0.9506300000000001,24.827133,88.662243,"Z6852, Naogaon District, -, Bangladesh"
15.08,22,24,67.2131147541,-1.08544,24.939871,88.77489,"Naogaon District, - 6530, Bangladesh"
6.67,14,20,70.4918032787,-0.78973,24.890107,88.914656,"Naogaon District, Naogaon -, Bangladesh"
9.0,18,16,45.9016393443,-1.180865,24.833158,88.570164,"Z6852, Naogaon District, Niamatpur -, Bangladesh"
5.83,12,15,63.9344262295,-0.8963300000000001,25.149563,88.650142,"Naogaon District, -, Bangladesh"
0.42,5,5,18.0327868852,-0.7402500000000001,24.70551,88.913431,"Naogaon District, -, Bangladesh"
2.67,10,11,23.7704918033,-1.03357,24.292164,88.953593,"Natore District, - 6431, Bangladesh"
0.75,3,4,9.0163934426,-0.7255,24.255372,89.188159,"Boraigram, Baraigram Upazila, Bangladesh"
